2019/01/01;19:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Worse Than Expected             ;% ;1.6;2.90;evised From 3.0
2019/09/11;7:00:00;Brazil                          ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;1.00;-0.1;0.1
2019/09/11;7:30:00;United States                   ;Moderate Volatility Expected    ;Core PPI                                                                                                        ;Better Than Expected            ;% ;0.30;0.2;-0.1
2019/09/11;7:30:00;United States                   ;Low Volatility Expected         ;Core PPI                                                                                                        ;Better Than Expected            ;% ;2.30;2.2;2.1
2019/09/11;7:30:00;United States                   ;High Volatility Expected        ;PPI                                                                                                             ;In Line with Expectation        ;% ;0.10;0.1;0.2
2019/09/11;7:30:00;United States                   ;Low Volatility Expected         ;PPI                                                                                                             ;Better Than Expected            ;% ;1.80;1.7;1.7
2019/09/11;7:30:00;Canada                          ;Low Volatility Expected         ;Capacity Utilization Rate                                                                                       ;Better Than Expected            ;% ;83.30;81.8;evised From 80.9
2019/09/11;8:00:00;Russia                          ;Low Volatility Expected         ;Trade Balance                                                                                                   ;Better Than Expected            ;B  ;11.22;11;12.51
2019/09/11;9:00:00;United States                   ;Low Volatility Expected         ;Wholesale Inventories                                                                                           ;In Line with Expectation        ;% ;0.20;0.2;evised From 0.2
2019/09/11;9:00:00;United States                   ;Low Volatility Expected         ;Wholesale Trade Sales                                                                                           ;Better Than Expected            ;% ;0.30;0.2;-0.3
2019/09/11;9:30:00;United States                   ;High Volatility Expected        ;Crude Oil Inventories                                                                                           ;Better Than Expected            ;M  ;-6.91;-2.686;-4.771
2019/09/11;9:30:00;United States                   ;Low Volatility Expected         ;Crude Oil Imports                                                                                               ;;M  ;-0.41;;0.934
2019/09/11;9:30:00;United States                   ;Moderate Volatility Expected    ;Cushing Crude Oil Inventories                                                                                   ;;M  ;-0.80;;-0.23
2019/09/11;9:30:00;United States                   ;Low Volatility Expected         ;Distillate Fuel Production                                                                                      ;;M  ;0.19;;-0.039
2019/09/11;9:30:00;United States                   ;Low Volatility Expected         ;EIA Weekly Distillates Stocks                                                                                   ;Worse Than Expected             ;M  ;2.70;0.072;-2.538
2019/09/11;9:30:00;United States                   ;Low Volatility Expected         ;Gasoline Production                                                                                             ;;M  ;0.09;;-0.388
2019/09/11;9:30:00;United States                   ;Low Volatility Expected         ;Heating Oil Stockpiles                                                                                          ;;M  ;0.29;;0.684
2019/09/11;9:30:00;United States                   ;Low Volatility Expected         ;Gasoline Inventories                                                                                            ;Worse Than Expected             ;M  ;-0.68;-0.847;-2.396
2019/09/11;10:00:00;United States                   ;Low Volatility Expected         ;Thomson Reuters IPSOS PCSI                                                                                      ;;;58.94;;60.59
2019/09/11;10:00:00;Brazil                          ;Low Volatility Expected         ;Brazil Thomson Reuters IPSOS PCSI                                                                               ;;;47.08;;49.11
2019/09/11;10:30:00;Brazil                          ;Low Volatility Expected         ;Foreign Exchange Flows                                                                                          ;;B  ;-1.59;;-4.317
2019/09/11;12:00:00;United States                   ;Moderate Volatility Expected    ;10-Year Note Auction                                                                                            ;;% ;1.74;;1.67
2019/09/11;17:45:00;New Zealand                     ;Low Volatility Expected         ;FPI                                                                                                             ;;% ;0.70;;1.1
2019/09/11;18:00:00;Japan                           ;Low Volatility Expected         ;Reuters Tankan Index                                                                                            ;;;-7.00;;-4
2019/09/11;18:01:00;United Kingdom                  ;Moderate Volatility Expected    ;RICS House Price Balance                                                                                        ;Better Than Expected            ;% ;-4.00;-10;-9
2019/09/11;18:50:00;Japan                           ;Low Volatility Expected         ;Core Machinery Orders                                                                                           ;Better Than Expected            ;% ;0.30;-4.5;12.5
2019/09/11;18:50:00;Japan                           ;Low Volatility Expected         ;Core Machinery Orders                                                                                           ;Better Than Expected            ;% ;-6.60;-9;13.9
2019/09/11;18:50:00;Japan                           ;Low Volatility Expected         ;Foreign Bonds Buying                                                                                            ;;B  ;724.40;;1.495.7                                            
2019/09/11;18:50:00;Japan                           ;Low Volatility Expected         ;Foreign Investments in Japanese Stocks                                                                          ;;B  ;-161.30;;-89.5
2019/09/11;18:50:00;Japan                           ;Low Volatility Expected         ;PPI                                                                                                             ;Worse Than Expected             ;% ;-0.90;-0.8;-0.6
2019/09/11;18:50:00;Japan                           ;Low Volatility Expected         ;PPI                                                                                                             ;Worse Than Expected             ;% ;-0.30;-0.2;0
2019/09/11;20:00:00;Australia                       ;Low Volatility Expected         ;MI Inflation Expectations                                                                                       ;;% ;3.10;;3.5
2019/09/11;21:30:00;Singapore                       ;Low Volatility Expected         ;Unemployment Rate                                                                                               ;;% ;2.20;;2.2
2019/09/11;23:30:00;Japan                           ;Moderate Volatility Expected    ;Tertiary Industry Activity Index                                                                                ;Better Than Expected            ;% ;0.10;-0.3;-0.1
2019/09/12;0:00:00;Singapore                       ;Low Volatility Expected         ;Retail Sales                                                                                                    ;;% ;-1.80;;-8.9
2019/09/12;0:00:00;Singapore                       ;Low Volatility Expected         ;Retail Sales                                                                                                    ;;% ;2.60;;-2.2
2019/09/12;1:00:00;Germany                         ;Moderate Volatility Expected    ;German CPI                                                                                                      ;In Line with Expectation        ;% ;-0.20;-0.2;0.5
2019/09/12;1:00:00;Germany                         ;Low Volatility Expected         ;German CPI                                                                                                      ;In Line with Expectation        ;% ;1.40;1.4;1.7
2019/09/12;1:00:00;Germany                         ;Low Volatility Expected         ;German HICP                                                                                                     ;In Line with Expectation        ;% ;1.00;1;1.1
2019/09/12;1:00:00;Germany                         ;Low Volatility Expected         ;German HICP                                                                                                     ;In Line with Expectation        ;% ;-0.10;-0.1;0.4
2019/09/12;1:30:00;Switzerland                     ;Low Volatility Expected         ;PPI                                                                                                             ;;% ;-1.90;;-1.7
2019/09/12;1:30:00;Switzerland                     ;Moderate Volatility Expected    ;PPI                                                                                                             ;In Line with Expectation        ;% ;-0.20;-0.2;-0.1
2019/09/12;1:45:00;France                          ;Low Volatility Expected         ;French CPI                                                                                                      ;Worse Than Expected             ;% ;1.00;1.1;1.1
2019/09/12;1:45:00;France                          ;Moderate Volatility Expected    ;French CPI                                                                                                      ;In Line with Expectation        ;% ;0.50;0.5;-0.2
2019/09/12;1:45:00;France                          ;Moderate Volatility Expected    ;French HICP                                                                                                     ;In Line with Expectation        ;% ;0.50;0.5;-0.2
2019/09/12;1:45:00;France                          ;Low Volatility Expected         ;French HICP                                                                                                     ;Better Than Expected            ;% ;1.30;1.2;1.3
2019/09/12;2:00:00;China                           ;Low Volatility Expected         ;FDI                                                                                                             ;;% ;6.90;;7.3
2019/09/12;3:00:00;Italy                           ;Low Volatility Expected         ;Italian Quarterly Unemployment Rate                                                                             ;;% ;9.90;;evised From 10.4
2019/09/12;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;-0.40;-0.1;evised From -1.6
2019/09/12;4:00:00;Euro Zone                       ;Low Volatility Expected         ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;-2.00;-1.3;evised From -2.6
2019/09/12;4:30:00;South Africa                    ;Low Volatility Expected         ;Gold Production                                                                                                 ;;% ;-13.10;;-16
2019/09/12;4:30:00;South Africa                    ;Low Volatility Expected         ;Mining Production                                                                                               ;Worse Than Expected             ;% ;2.40;4.2;evised From -4.2
2019/09/12;5:00:00;United Kingdom                  ;Low Volatility Expected         ;Thomson Reuters IPSOS PCSI                                                                                      ;;;48.10;;48.3
2019/09/12;5:00:00;United States                   ;Moderate Volatility Expected    ;OPEC Meeting                                                                                                    ;;;;;
2019/09/12;5:00:00;Italy                           ;Low Volatility Expected         ;Italy Thomson Reuters IPSOS PCSI                                                                                ;;;40.56;;42.97
2019/09/12;5:00:00;Germany                         ;Low Volatility Expected         ;Germany Thomson Reuters IPSOS PCSI                                                                              ;;;54.56;;54.17
2019/09/12;5:00:00;France                          ;Low Volatility Expected         ;France Thomson Reuters IPSOS PCSI                                                                               ;;;44.51;;45.21
2019/09/12;5:00:00;Russia                          ;Low Volatility Expected         ;Russia Thomon Reuters IPSOS PCSI                                                                                ;;;39.88;;41.99
2019/09/12;5:45:00;Italy                           ;Low Volatility Expected         ;Italian 3-Year BTP Auction                                                                                      ;;% ;-0.01;;0.49
2019/09/12;5:45:00;Italy                           ;Low Volatility Expected         ;Italian 30-Year BTP Auction                                                                                     ;;% ;2.06;;3.65
2019/09/12;5:45:00;Italy                           ;Low Volatility Expected         ;Italian 7-Year BTP Auction                                                                                      ;;% ;0.56;;1.24
2019/09/12;6:45:00;Euro Zone                       ;High Volatility Expected        ;Deposit Facility Rate                                                                                           ;In Line with Expectation        ;% ;-0.50;-0.5;-0.4
2019/09/12;6:45:00;Euro Zone                       ;High Volatility Expected        ;ECB Marginal Lending Facility                                                                                   ;;% ;0.25;;0.25
2019/09/12;6:45:00;Euro Zone                       ;High Volatility Expected        ;ECB Monetary Policy Statement                                                                                   ;;;;;
2019/09/12;6:45:00;Euro Zone                       ;High Volatility Expected        ;ECB Interest Rate Decision                                                                                      ;In Line with Expectation        ;% ;0.00;0;0
2019/09/12;7:00:00;India                           ;Moderate Volatility Expected    ;CPI                                                                                                             ;Worse Than Expected             ;% ;3.21;3.3;3.15
2019/09/12;7:00:00;India                           ;Low Volatility Expected         ;Cumulative Industrial Production                                                                                ;;% ;3.30;;3.6
2019/09/12;7:00:00;India                           ;Low Volatility Expected         ;Industrial Production                                                                                           ;Better Than Expected            ;% ;4.30;2.3;evised From 2.0
2019/09/12;7:00:00;India                           ;Low Volatility Expected         ;Manufacturing Output                                                                                            ;;% ;4.20;;evised From 1.2
2019/09/12;7:00:00;Brazil                          ;Low Volatility Expected         ;Brazilian Service Sector Growth                                                                                 ;Better Than Expected            ;% ;1.80;0.2;-3.6
2019/09/12;7:00:00;Brazil                          ;Low Volatility Expected         ;Brazilian Service Sector Growth                                                                                 ;Better Than Expected            ;% ;0.80;-0.4;-1
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;Continuing Jobless Claims                                                                                       ;Better Than Expected            ;K  ;1.67;1.69;"evised From 1.662K>1.674                          """
2019/09/12;7:30:00;United States                   ;High Volatility Expected        ;Core CPI                                                                                                        ;Better Than Expected            ;% ;0.30;0.2;0.3
2019/09/12;7:30:00;United States                   ;Moderate Volatility Expected    ;Core CPI                                                                                                        ;Better Than Expected            ;% ;2.40;2.3;2.2
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;Core CPI Index                                                                                                  ;;;264.25;;263.57
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;CPI                                                                                                             ;Worse Than Expected             ;% ;1.70;1.8;1.8
2019/09/12;7:30:00;United States                   ;Moderate Volatility Expected    ;CPI                                                                                                             ;In Line with Expectation        ;% ;0.10;0.1;0.3
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;CPI Index. n.s.a.                                                                                               ;Worse Than Expected             ;;256.56;256.58;256.57
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;CPI Index. s.a                                                                                                  ;;;256.30;;256.16
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;CPI. n.s.a                                                                                                      ;;% ;-0.01;;0.17
2019/09/12;7:30:00;United States                   ;Moderate Volatility Expected    ;Initial Jobless Claims                                                                                          ;Better Than Expected            ;K  ;204.00;215;"evised From 217K>219                              """
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;Jobless Claims 4-Week Avg.                                                                                      ;;K  ;212.50;;"evised From 216.25K>216.75                        """
2019/09/12;7:30:00;United States                   ;Low Volatility Expected         ;Real Earnings                                                                                                   ;;% ;0.60;;-0.3
2019/09/12;7:30:00;Canada                          ;Moderate Volatility Expected    ;New Housing Price Index                                                                                         ;;% ;-0.10;;-0.1
2019/09/12;7:30:00;Euro Zone                       ;High Volatility Expected        ;ECB President Draghi Speaks                                                                                     ;;;;;
2019/09/12;7:30:00;Euro Zone                       ;High Volatility Expected        ;ECB Press Conference                                                                                            ;;;;;
2019/09/12;8:00:00;Russia                          ;Moderate Volatility Expected    ;Central Bank reserves (USD)                                                                                     ;;B  ;532.70;;530.5
2019/09/12;9:30:00;United States                   ;Low Volatility Expected         ;Natural Gas Storage                                                                                             ;Better Than Expected            ;B  ;78.00;82;84
2019/09/12;10:00:00;United States                   ;Low Volatility Expected         ;Cleveland CPI                                                                                                   ;;% ;0.20;;0.3
2019/09/12;10:30:00;United States                   ;Low Volatility Expected         ;4-Week Bill Auction                                                                                             ;;% ;1.94;;2.025
2019/09/12;10:30:00;United States                   ;Low Volatility Expected         ;8-Week Bill Auction                                                                                             ;;% ;1.92;;1.96
2019/09/12;11:00:00;United States                   ;Moderate Volatility Expected    ;WASDE Report                                                                                                    ;;;;;
2019/09/12;12:00:00;United States                   ;Low Volatility Expected         ;30-Year Bond Auction                                                                                            ;;% ;2.27;;2.335
2019/09/12;13:00:00;United States                   ;Moderate Volatility Expected    ;Federal Budget Balance                                                                                          ;Worse Than Expected             ;B  ;-200.00;-195;-120
2019/09/12;17:30:00;New Zealand                     ;Moderate Volatility Expected    ;Business NZ PMI                                                                                                 ;;;48.40;;48.2
2019/09/12;21:00:00;Japan                           ;Low Volatility Expected         ;Thomson Reuters IPSOS PCSI                                                                                      ;;;40.25;;39.44
2019/09/12;21:00:00;China                           ;Low Volatility Expected         ;China Thomson Reuters IPSOS PCSI                                                                                ;;;68.54;;71.26
2019/09/12;23:30:00;Japan                           ;Low Volatility Expected         ;Capacity Utilization                                                                                            ;;% ;1.10;;-2.6
2019/09/12;23:30:00;Japan                           ;Moderate Volatility Expected    ;Industrial Production                                                                                           ;In Line with Expectation        ;% ;1.30;1.3;-3.3
2019/09/13;1:00:00;Germany                         ;Low Volatility Expected         ;German WPI                                                                                                      ;;% ;-1.10;;-0.1
2019/09/13;1:00:00;Germany                         ;Low Volatility Expected         ;German WPI                                                                                                      ;;% ;-0.80;;-0.3
2019/09/13;2:00:00;Spain                           ;Moderate Volatility Expected    ;Spanish CPI                                                                                                     ;In Line with Expectation        ;% ;0.30;0.3;0.5
2019/09/13;2:00:00;Spain                           ;Low Volatility Expected         ;Spanish CPI                                                                                                     ;In Line with Expectation        ;% ;-0.10;-0.1;-0.6
2019/09/13;2:00:00;Spain                           ;Low Volatility Expected         ;Spanish HICP                                                                                                    ;In Line with Expectation        ;% ;-0.10;-0.1;-1.1
2019/09/13;2:00:00;Spain                           ;Moderate Volatility Expected    ;Spanish HICP                                                                                                    ;In Line with Expectation        ;% ;0.40;0.4;0.6
2019/09/13;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Wages in euro zone                                                                                              ;;% ;2.70;;evised From 2.50
2019/09/13;4:00:00;Euro Zone                       ;Low Volatility Expected         ;Labor Cost Index                                                                                                ;;% ;2.70;;evised From 2.40
2019/09/13;4:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Trade Balance                                                                                                   ;Better Than Expected            ;B  ;24.80;17.4;20.6
2019/09/13;5:00:00;Euro Zone                       ;Moderate Volatility Expected    ;EU Finance Ministers Meeting                                                                                    ;;;;;
2019/09/13;5:00:00;Euro Zone                       ;Moderate Volatility Expected    ;Eurogroup Meetings                                                                                              ;;;;;
2019/09/13;6:30:00;India                           ;Low Volatility Expected         ;Bank Loan Growth                                                                                                ;;% ;10.20;;11.6
2019/09/13;6:30:00;India                           ;Low Volatility Expected         ;Deposit Growth                                                                                                  ;;% ;9.70;;10.2
2019/09/13;6:30:00;India                           ;Low Volatility Expected         ;FX Reserves. USD                                                                                                ;;B  ;429.61;;428.6
2019/09/13;7:30:00;United States                   ;High Volatility Expected        ;Core Retail Sales                                                                                               ;Worse Than Expected             ;% ;0.00;0.1;1
2019/09/13;7:30:00;United States                   ;Low Volatility Expected         ;Export Price Index                                                                                              ;;% ;-1.40;;-0.9
2019/09/13;7:30:00;United States                   ;Moderate Volatility Expected    ;Export Price Index                                                                                              ;Worse Than Expected             ;% ;-0.60;-0.2;0.2
2019/09/13;7:30:00;United States                   ;Moderate Volatility Expected    ;Import Price Index                                                                                              ;Worse Than Expected             ;% ;-0.50;-0.4;evised From 0.2
2019/09/13;7:30:00;United States                   ;Low Volatility Expected         ;Import Price Index                                                                                              ;;% ;-2.00;;-1.8
2019/09/13;7:30:00;United States                   ;Low Volatility Expected         ;Retail Control                                                                                                  ;In Line with Expectation        ;% ;0.30;0.3;evised From 1.0
2019/09/13;7:30:00;United States                   ;Low Volatility Expected         ;Retail Sales                                                                                                    ;;% ;4.10;;evised From 3.58
2019/09/13;7:30:00;United States                   ;High Volatility Expected        ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;0.40;0.2;evised From 0.7
2019/09/13;7:30:00;United States                   ;Low Volatility Expected         ;Retail Sales Ex Gas/Autos                                                                                       ;;% ;0.10;;0.9
2019/09/13;7:30:00;Brazil                          ;Low Volatility Expected         ;IBC-Br Economic Activity                                                                                        ;;% ;-0.16;;0.3
2019/09/13;8:15:00;India                           ;Low Volatility Expected         ;Trade Balance                                                                                                   ;Better Than Expected            ;B  ;-13.45;-13.6;-13.43
2019/09/13;9:00:00;United States                   ;Moderate Volatility Expected    ;Business Inventories                                                                                            ;Worse Than Expected             ;% ;0.40;0.3;0
2019/09/13;9:00:00;United States                   ;Low Volatility Expected         ;Michigan 5-Year Inflation Expectations                                                                          ;;% ;2.30;;2.6
2019/09/13;9:00:00;United States                   ;Moderate Volatility Expected    ;Michigan Consumer Expectations                                                                                  ;Better Than Expected            ;;82.40;82;79.9
2019/09/13;9:00:00;United States                   ;Moderate Volatility Expected    ;Michigan Consumer Sentiment                                                                                     ;Better Than Expected            ;;92.00;90.9;89.8
2019/09/13;9:00:00;United States                   ;Low Volatility Expected         ;Michigan Current Conditions                                                                                     ;Worse Than Expected             ;;106.90;107;105.3
2019/09/13;9:00:00;United States                   ;Low Volatility Expected         ;Michigan Inflation Expectations                                                                                 ;;% ;2.80;;2.7
2019/09/13;9:00:00;United States                   ;Moderate Volatility Expected    ;Retail Inventories Ex Auto                                                                                      ;;% ;0.30;;0.3
2019/09/13;12:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Oil Rig Count                                                                                 ;;;733.00;;738
2019/09/13;12:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Total Rig Count                                                                               ;;;886.00;;898
2019/09/13;14:30:00;United Kingdom                  ;Moderate Volatility Expected    ;CFTC GBP speculative net positions                                                                              ;;K  ;-92.20;;-85
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Aluminium speculative net positions                                                                        ;;K  ;-49.80;;-49.1
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Copper speculative net positions                                                                           ;;K  ;-41.20;;-58.8
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Corn speculative net positions                                                                             ;;K  ;-7.50;;21
2019/09/13;14:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Crude Oil speculative net positions                                                                        ;;K  ;428.20;;384.2
2019/09/13;14:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Gold speculative net positions                                                                             ;;K  ;269.70;;300.5
2019/09/13;14:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Nasdaq 100 speculative positions                                                                           ;;K  ;26.90;;24.5
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Natural Gas speculative net positions                                                                      ;;K  ;-150.40;;-170.9
2019/09/13;14:30:00;United States                   ;Moderate Volatility Expected    ;"CFTC S&amp;P 500 speculative net positions                                                                      ";;K  ;-16.40;;12.3
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Silver speculative net positions                                                                           ;;K  ;60.20;;62.1
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Soybeans speculative net positions                                                                         ;;K  ;-46.60;;-25
2019/09/13;14:30:00;United States                   ;Low Volatility Expected         ;CFTC Wheat speculative net positions                                                                            ;;K  ;9.30;;-0.1
2019/09/13;14:30:00;Canada                          ;Low Volatility Expected         ;CFTC CAD speculative net positions                                                                              ;;K  ;11.50;;5.3
2019/09/13;14:30:00;Switzerland                     ;Low Volatility Expected         ;CFTC CHF speculative net positions                                                                              ;;K  ;-2.90;;-5.8
2019/09/13;14:30:00;Australia                       ;Moderate Volatility Expected    ;CFTC AUD speculative net positions                                                                              ;;K  ;-53.00;;-59.3
2019/09/13;14:30:00;Brazil                          ;Moderate Volatility Expected    ;CFTC BRL speculative net positions                                                                              ;;K  ;-34.70;;-10.9
2019/09/13;14:30:00;Japan                           ;Moderate Volatility Expected    ;CFTC JPY speculative net positions                                                                              ;;K  ;32.60;;27.7
2019/09/13;14:30:00;New Zealand                     ;Low Volatility Expected         ;CFTC NZD speculative net positions                                                                              ;;K  ;-29.80;;-30.7
2019/09/13;14:30:00;Russia                          ;Moderate Volatility Expected    ;CFTC RUB speculative positions                                                                                  ;;K  ;27.90;;27.5
2019/09/13;14:30:00;Euro Zone                       ;Moderate Volatility Expected    ;CFTC EUR speculative net positions                                                                              ;;K  ;-49.80;;-49.1
2019/09/15;18:00:00;United Kingdom                  ;Low Volatility Expected         ;Rightmove House Price Index                                                                                     ;;% ;-0.20;;-1
2019/09/15;21:00:00;South Korea                     ;Low Volatility Expected         ;Exports                                                                                                         ;;% ;-13.80;;-13.6
2019/09/15;21:00:00;South Korea                     ;Low Volatility Expected         ;Imports                                                                                                         ;;% ;-4.20;;-4.2
2019/09/15;21:00:00;South Korea                     ;Low Volatility Expected         ;Trade Balance                                                                                                   ;;B  ;1.65;;1.72
2019/09/15;21:00:00;China                           ;Moderate Volatility Expected    ;Fixed Asset Investment                                                                                          ;Worse Than Expected             ;% ;5.50;5.6;5.7
2019/09/15;21:00:00;China                           ;High Volatility Expected        ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;4.40;5.2;4.8
2019/09/15;21:00:00;China                           ;Moderate Volatility Expected    ;Chinese Industrial Production YTD                                                                               ;;% ;5.60;;5.8
2019/09/15;21:00:00;China                           ;Low Volatility Expected         ;Retail Sales                                                                                                    ;Worse Than Expected             ;% ;7.50;7.9;7.6
2019/09/15;21:00:00;China                           ;Low Volatility Expected         ;Chinese Retail Sales YTD                                                                                        ;;% ;8.21;;8.32
2019/09/15;21:00:00;China                           ;Moderate Volatility Expected    ;Chinese Unemployment Rate                                                                                       ;;% ;5.20;;5.3
2019/09/16;0:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Investing.com GBP/USD Index                                                                                     ;;% ;39.70;;40.6
2019/09/16;0:30:00;United States                   ;Moderate Volatility Expected    ;Investing.com Gold Index                                                                                        ;;% ;64.70;;64.2
2019/09/16;0:30:00;United States                   ;Moderate Volatility Expected    ;"Investing.com S&amp;P 500 Index                                                                                 ";;% ;48.90;;35.2
2019/09/16;0:30:00;Canada                          ;Moderate Volatility Expected    ;Investing.com USD/CAD Index                                                                                     ;;% ;38.70;;52.9
2019/09/16;0:30:00;Switzerland                     ;Moderate Volatility Expected    ;Investing.com USD/CHF Index                                                                                     ;;% ;46.00;;47.2
2019/09/16;0:30:00;Australia                       ;Moderate Volatility Expected    ;Investing.com AUD/USD Index                                                                                     ;;% ;42.50;;39.6
2019/09/16;0:30:00;Japan                           ;Moderate Volatility Expected    ;Investing.com USD/JPY Index                                                                                     ;;% ;40.30;;50
2019/09/16;0:30:00;New Zealand                     ;Moderate Volatility Expected    ;Investing.com NZD/USD Index                                                                                     ;;% ;48.80;;47.7
2019/09/16;0:30:00;Euro Zone                       ;Moderate Volatility Expected    ;Investing.com EUR/USD Index                                                                                     ;;% ;42.50;;35.2
2019/09/16;1:30:00;India                           ;Low Volatility Expected         ;WPI Food                                                                                                        ;;% ;7.67;;6.15
2019/09/16;1:30:00;India                           ;Low Volatility Expected         ;WPI Fuel                                                                                                        ;;% ;-4.00;;-3.64
2019/09/16;1:30:00;India                           ;Moderate Volatility Expected    ;WPI Inflation                                                                                                   ;Better Than Expected            ;% ;1.08;1.04;1.08
2019/09/16;1:30:00;India                           ;Low Volatility Expected         ;WPI Manufacturing Inflation                                                                                     ;;% ;0.00;;0.34
2019/09/16;1:45:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Coeure Speaks                                                                                         ";;;;;
2019/09/16;3:00:00;Italy                           ;Low Volatility Expected         ;Italian CPI                                                                                                     ;Worse Than Expected             ;% ;0.40;0.5;0.5
2019/09/16;3:00:00;Italy                           ;Moderate Volatility Expected    ;Italian CPI                                                                                                     ;Worse Than Expected             ;% ;0.40;0.5;0.5
2019/09/16;3:00:00;Italy                           ;Low Volatility Expected         ;Italian CPI Ex Tobacco                                                                                          ;;% ;0.30;;0.2
2019/09/16;3:00:00;Italy                           ;Low Volatility Expected         ;Italian HICP                                                                                                    ;In Line with Expectation        ;% ;0.50;0.5;0.5
2019/09/16;3:00:00;Italy                           ;Low Volatility Expected         ;Italian HICP                                                                                                    ;Better Than Expected            ;% ;0.00;-1.7;-1.8
2019/09/16;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Reserve Assets Total                                                                                            ;;B  ;836.50;;"evised From 797.86B>797.87                        """
2019/09/16;6:25:00;Brazil                          ;Moderate Volatility Expected    ;BCB Focus Market Readout                                                                                        ;;;;;
2019/09/16;7:00:00;Russia                          ;Moderate Volatility Expected    ;CBR Monetary Policy Meeting Minutes                                                                             ;;;;;
2019/09/16;7:30:00;United States                   ;Moderate Volatility Expected    ;NY Empire State Manufacturing Index                                                                             ;Worse Than Expected             ;;2.00;4;4.8
2019/09/16;7:30:00;Canada                          ;Moderate Volatility Expected    ;Foreign Securities Purchases                                                                                    ;;B  ;-1.17;;"evised From -3.98B>-4.06                          """
2019/09/16;7:30:00;Canada                          ;Low Volatility Expected         ;Foreign Securities Purchases by Canadians                                                                       ;;B  ;12.45;;6.61
2019/09/16;8:00:00;France                          ;Low Volatility Expected         ;French 12-Month BTF Auction                                                                                     ;;% ;-0.62;;-0.729
2019/09/16;8:00:00;France                          ;Low Volatility Expected         ;French 3-Month BTF Auction                                                                                      ;;% ;-0.57;;-0.609
2019/09/16;8:00:00;France                          ;Low Volatility Expected         ;French 6-Month BTF Auction                                                                                      ;;% ;-0.62;;-0.699
2019/09/16;8:00:00;Russia                          ;Low Volatility Expected         ;Industrial Production                                                                                           ;;% ;2.90;;2.8
2019/09/16;10:30:00;United States                   ;Low Volatility Expected         ;3-Month Bill Auction                                                                                            ;;% ;1.95;;1.92
2019/09/16;10:30:00;United States                   ;Low Volatility Expected         ;6-Month Bill Auction                                                                                            ;;% ;1.87;;1.825
2019/09/16;16:00:00;New Zealand                     ;Moderate Volatility Expected    ;Westpac Consumer Sentiment                                                                                      ;;;103.10;;103.5
2019/09/16;19:30:00;Singapore                       ;Low Volatility Expected         ;Non-Oil Exports                                                                                                 ;Better Than Expected            ;% ;6.70;2.5;evised From 3.70
2019/09/16;19:30:00;Singapore                       ;Low Volatility Expected         ;Non-Oil Exports                                                                                                 ;Better Than Expected            ;% ;-8.90;-12.2;evised From -11.20
